"positions"	"names"
"1"	"Pat Flaherty"
"13"	"Sam Hanks"
"26"	"Don Freeland"
"6"	"Johnnie Parsons"
"4"	"Dick Rathmann"
"10"	"Bob Sweikert"
"23"	"Bob Veith"
"15"	"Rodger Ward"
"21"	"Jimmy Reece"
"30"	"Cliff Griffith"
"22"	"Gene Hartley"
"7"	"Fred Agabashian"
"25"	"Bob Christie"
"28"	"Al Keller"
"32"	"Eddie Johnson"
"29"	"Billy Garrett"
"33"	"Duke Dinsmore"
"3"	"Pat O'Connor"
"19"	"Jimmy Bryan"
"2"	"Jim Rathmann"
"31"	"Johnnie Tolan"
"5"	"Tony Bettenhausen"
"14"	"Ed Elisian"
"14"	"Eddie Russo"
"16"	"Jimmy Daywalt"
"24"	"Jack Turner"
"20"	"Keith Andrews"
"9"	"Andy Linden"
"27"	"Al Herman"
"17"	"Ray Crawford"
"12"	"Johnny Boyd"
"11"	"Troy Ruttman"
"18"	"Johnny Thomson"
"8"	"Paul Russo"
